,symbol,metric,value
3537,WST,Day's Range,444.44 - 450.26
3538,WST,52 Week Range,253.86 - 475.35
3539,WST,Volume,"177,224"
3540,WST,Avg. Volume,"356,893"
3541,WDC,Previous Close,56.95
3542,WDC,Open,56.95
3543,WDC,Bid,57.55 x 800
3544,WDC,Ask,58.10 x 2200
3545,WDC,Day's Range,56.27 - 58.04
3546,WDC,52 Week Range,48.23 - 78.19
3547,WDC,Volume,"3,841,332"
3548,WDC,Avg. Volume,"3,598,087"
3549,WU,Previous Close,17.15
3550,WU,Open,17.16
3551,WU,Bid,17.25 x 1200
3552,WU,Ask,17.22 x 1800
3553,WU,Day's Range,16.87 - 17.37
3554,WU,52 Week Range,15.69 - 26.61
3555,WU,Volume,"7,442,779"
3556,WU,Avg. Volume,"5,671,285"
3557,WRK,Previous Close,43.52
3558,WRK,Open,44.02
3559,WRK,Bid,44.86 x 800
3560,WRK,Ask,44.87 x 800
3561,WRK,Day's Range,43.78 - 44.99
3562,WRK,52 Week Range,40.04 - 62.03
3563,WRK,Volume,"1,128,983"
3564,WRK,Avg. Volume,"1,741,435"
3565,WY,Previous Close,38.51
3566,WY,Open,38.70
3567,WY,Bid,38.30 x 1800
3568,WY,Ask,38.34 x 1200
3569,WY,Day's Range,37.94 - 39.16
3570,WY,52 Week Range,29.83 - 41.68
3571,WY,Volume,"2,664,691"
3572,WY,Avg. Volume,"3,780,350"
3573,WHR,Previous Close,229.61
3574,WHR,Open,230.11
3575,WHR,Bid,229.87 x 1400
3576,WHR,Ask,229.88 x 1200
3577,WHR,Day's Range,229.23 - 232.78
3578,WHR,52 Week Range,171.33 - 257.68
3579,WHR,Volume,"404,209"
3580,WHR,Avg. Volume,"625,721"
3581,WMB,Previous Close,27.25
3582,WMB,Open,27.48
3583,WMB,Bid,26.92 x 3200
3584,WMB,Ask,27.32 x 3100
3585,WMB,Day's Range,26.89 - 27.64
3586,WMB,52 Week Range,19.85 - 29.89
3587,WMB,Volume,"6,704,811"
3588,WMB,Avg. Volume,"8,363,936"
3589,WLTW,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
3590,WYNN,Previous Close,82.29
3591,WYNN,Open,81.66
3592,WYNN,Bid,80.05 x 900
3593,WYNN,Ask,80.60 x 800
3594,WYNN,Day's Range,79.00 - 82.36
3595,WYNN,52 Week Range,76.03 - 143.88
3596,WYNN,Volume,"5,135,764"
